Filename;newFilename;Path;Title;Text_English;Language ;Pictorial_verbopictorial;Name_of_the_creator;Longitude;Latitude;Additional_info;Mode_of_construction;Function;Channels_of_circulation
IMG00009.jpg;IMG00009_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00009.jpg"" />";Papandreou wedding;Georgios Papandreou as a groom after January 26 2015;GR;verbopictorial;Unknown;23.72657; 37.97660;January 25 2015 Greek legislative election, the coalition of the radical left, syriza, won a legislative election for the first time ever. The pictorial representation represents the former prime minister G. Papandreou, Greek folk song 1970 (Κυρά-Γιώργαινα - Καλατζής Γιάννης & Διαμάντη Λίτσα).;stencil, marker pen;social, political;public wall
IMG00010.jpg;IMG00010_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00010.jpg"" />";Grexit;Hi Pal Pay me, Grexit;EN;verbopictorial;Unknown;23.72835; 37.97895;;stencil;social, political;public wall
IMG00011.jpg;IMG00011_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00011.jpg"" />";Antifascism;I fought the fascists so that my grandchildren could bring them back;GR;verbopictorial;Mapet;23.73424; 37.98550;;stencil;social, political;public wall
IMG00012.jpg;IMG00012_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00012.jpg"" />";Unemployment;I need job, not speech;EN;verbopictorial;WD;23.73843; 37.98625;;stencil, marker pen;social, political;public wall
IMG00013.jpg;IMG00013_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00013.jpg"" />";The court?;I see dead people..But who doesn't?;EN;verbopictorial;Jnor, Kize, Rows, Ano;23.73389; 37.98490;;spraypaint / marker pen;social, political;public wall
IMG00014.jpg;IMG00014_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00014.jpg"" />";Greek antiquity;Vote to noone;EN;verbopictorial;Bleeps.gr;23.72511; 37.97501;It is referred to the elections on October 4 2009 in Greece. The historical past of classical antiquity with the cultural ideals is reconceptualized and interconnected with the Greek present. ;stencil;social, political;public wall
IMG00015.jpg;IMG00015_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00015.jpg"" />";Broken wings;;;pictorial;WD;23.72496; 37.97861;;stencil, paste-up;social, political;public wall
IMG00016.jpg;IMG00016_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00016.jpg"" />";Santa Claus ;Spare any change, please?;GR, EN;verbopictorial;Bleeps.gr;23.73020; 37.99254;;stencil;social, political;public wall
IMG00017.jpg;IMG00017_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00017.jpg"" />";The fish star;;;pictorial;Bleeps.gr;23.72372; 37.97970;;spraypaint / marker pen;social, political;public wall
IMG00018.jpg;IMG00018_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00018.jpg"" />";Riot - molotov cocktails;;;pictorial;Unknown;23.73502; 37.98698;;spraypaint;social, political;steel door
